iter	RMSE
0	41661.87167
1	40573.10884
2	39554.97481
3	38461.13339
4	37386.70104
5	36618.17093
6	35734.03211
7	34977.76434
8	34134.65782
9	33468.65093
10	32697.96799111	31947.75308112	31393.00984113	30766.1345714	30754.58592
15	30137.88508
16	29593.00258
17	29147.02853
18	28615.07038
19	28119.04606
20	27710.0852921	26862.3703
2222	26984.700723	26147.88991
2424	26331.34974
25	25992.45967
26	25673.04655
27	25427.99775
28	25129.32501
29	24900.45188
30	24624.58377
31	24367.49436
32	24125.00948
33	23885.99883
34	23581.31575
35	23313.44096
36	23048.35062
37	22872.10591
38	22643.62801
39	22441.32419
40	22277.85946
41	22098.26633
42	21907.95723
43	21757.42488
44	21612.79175
45	21475.92299
46	21287.64003
47	21185.68735
48	21100.29054
49	20969.07887
50	20883.89521
51	20731.03245
52	20617.56539
53	20491.8004
54	20383.14212
55	20230.69895
56	20116.39285
57	20008.4827
58	19897.66965
59	19757.11469
60	19641.72953
61	19575.63644
62	19510.72121
63	19428.6518
64	19334.19977
65	19274.92257
66	19209.36586
67	19117.71704
68	19042.73796
69	18966.55938
70	18913.84829
71	18850.81141
72	18801.22737
73	18726.13028
74	18656.54798
75	18590.66998
76	18530.17163
77	18430.19874
78	18332.53183
79	18268.78675
80	18214.81934
81	18170.11647
82	18100.13358
83	18032.24179
84	17925.11879
85	17875.74982
86	17818.56249
87	17771.91343
88	17729.74902
89	17688.93906
90	17647.84421
91	17604.22179
92	17548.82097
93	17471.02296
94	17419.8256
95	17364.85398
96	17315.0452
97	17265.325
98	17209.23156
99	17173.23063
100	17120.39624
101	17054.02791
102	17019.22651
103	16965.75333
104	16917.68718
105	16815.07155
106	16780.96527
107	16756.51106
108	16703.942
109	16635.89669
110	16592.83686
111	16527.139
112	16477.62049
113	16429.50736
114	16387.49768
115	16356.38249
116	16305.33356
117	16248.47968
118	16207.2204
119	16149.17581
120	16106.81182
121	16033.75884
122	15974.33972
123	15929.60495
124	15908.36841
125	15853.78849
126	15808.01489
127	15766.84429
128	15725.78001
129	15673.72524
130	15626.93569
131	15578.04655
132	15502.63977
133	15444.92871
134	15412.88998
135	15358.49994
136	15325.07455
137	15281.4228
138	15210.91237
139	15129.49025
140	15071.97508
141	15057.61112
142	15002.43701
143	14969.05593
144	14934.5078
145	14899.24596
146	14846.42575
147	14803.05684
148	14748.86949
149	14680.91393
150	14635.12866
151	14595.31567
152	14566.05449
153	14510.04565
154	14465.92747
155	14405.431156156	14356.557157157	14301.487158158	14276.91415159	14245.416616160	14209.427816161	14165.854616162	14105.193116163	14078.152016164	14061.885216165	14019.95824
166	13992.96918
167	13977.35645
168	13948.8338
169	13907.40684
170	13877.00829
171	13848.32478
172	13789.65248
173	13725.07236
174	13677.74898
175	13636.19337
176	13598.61693
177	13572.58148
178	13503.42659
179	13470.01983
180	13446.21427
181	13407.16567
182	13370.799
183	13357.34325
184	13306.596
185	13269.98645
186	13234.29241
187	13221.1376
188	13153.21483
189	13125.14716
190	13097.19323
191	13055.22705
192	13021.3426
193	12998.9003
194	12977.7699
195	12957.56533
196	12931.43117
197	12879.79582
198	12866.52134
199	12842.88913
525
.65155
