iter	Passed	Remaining
0	157	31441
1	194	19294
2	280	18415
3	339	16623
4	381	14870
5	405	13124
6	440	12135
7	488	11731
8	536	11386
9	587	11170
10	613	10533
11	638	10001
12	665	9572
13	733	9741
14	806	9943
15	860	9899
16	908	9780
17	950	9615
18	1014	9667119	1057	9513220	1118	953221	1199	9702
222	1251	962723	1309	9601
224	1398	9787
25	1481	9916
26	1525	9774
27	1585	9740
28	1632	9623
29	1681	9527
30	1704	9293
31	1757	9225
32	1804	9133
33	1838	8975
34	1861	8775
35	1887	8599
36	1958	8626
37	1971	8405
38	1990	8217
39	1999	7998
40	2015	7816
41	2027	7629
42	2050	7487
43	2062	7314
44	2142	7380
45	2186	7321
46	2226	7247
47	2258	7153
48	2296	7078
49	2347	7041
50	2420	7072
51	2432	6923
52	2450	6797
53	2520	6814
54	2548	6719
55	2592	6665
56	2652	6653
57	2681	6564
58	2691	6432
59	2702	6305
60	2713	6183
61	2722	6060
62	2734	5946
63	2747	5837
64	2760	5733
65	2774	5632
66	2785	5529
67	2803	5441
68	2818	5351
69	2830	5256
70	2847	5173
71	2858	5082
72	2873	4999
73	275	2966	4840
76	2993	4781
77	3018	4720
78	3051	4673
79	3076	4614
80	3101	4556
81	3131	4506
82	3149	4439
83	3195	4412
84	3220	4357
85	3247	4304
86	3272	4251
87	3301	4201
88	3336	4160
89	3361	4108
90	3410	4084
91	3451	4051
92	3477	4001
93	3543	3995
94	3579	3956
95	3627	3929
96	3652	3878
97	3676	3826
98	3692	3766
99	3783	3783
100	3887	3810
101	3950	3795
102	4016	3782
103	4041	3730
104	4077	3689
105	4102	3637
106	4121	3582
107	4168	3551
108	4185	3494
109	4222	3454
110	4241	3400
111	4254	3343
112	4271	3288
113	4303	3246
114	4319	3192
115	4334	3139
116	4348	3084
117	4358	3028
118	4373	2976
119	4382	2921
120	4397	2871
121	4408	2818
122	4419	2766
123	4434	2717
124	4447	2668
125	4459	2618
126	4469	2568
127	4484	2522
128	4501	2477
129	4514	2430
130	4529	2385
131	4540	2339
132	4550	2292
133	4569	2250
134	4582	2206
135	4602	2165
136	4619	2124
137	4634	2082
138	4645	2038
139	4654	1994
140	4664	1951
141	4674	1909
142	4686	1868
143	4696	1826
144	4707	1785
145	4716	1744
146	4724	1703
147	4734	1663
148	4743	1623
149	4753	1584
150	4761	1545
151	4771	1506
152	4780	1468
153	4790	1430
154	4797	1392
155	4807	1355
156	4816	1319
157	4823	1282
158	4837	1247
159	4850	1212
160	4859	1177
161	4877	1144
162	4892	1110
163	4905	1076
164	4923	1044
165	4943	1012
166	4960	980
167	4974	947
168	4992	915
169	5005	883
170	5015	850
171	5024	817
172	5037	786
173	5060	756
174	5074	724
175	5084	693
176	5094	662
177	5105	631
178	5125	601
179	5131	570
180	5155	541
181	5176	511
182	5193	482
183	5210	453
184	5217	423
185	5226	393
186	5238	364
187	5250	335
188	5264	306
189	5277	277
190	5288	249
191	5299	220
192	5313	192
193	5324	164
194	5333	136
195	5340	108
196	5351	81
197	5362	54
198	5369	26
199	5378	0
8	5232	26
199	5243	0
