square_feet,bedrooms,bathrooms,age,garage,location_score,condition,Price
2397,3,2.056944530885957,26,0,6.009474023585343,good,500000
1889,4,3.278352038424371,2,3,6.179814830974343,fair,500000
2518,1,1.0,11,3,7.244298781044974,excellent,500000
3218,4,3.080577683658977,0,2,5.697024931148512,fair,500000
1812,3,2.7085405279237595,13,3,7.267249363042792,good,500000
1812,2,1.6523507268868871,21,1,9.402731060090343,good,500000
3263,2,1.66148882371489,2,2,7.723251533666394,excellent,500000
2613,4,3.3217522011929406,6,2,6.427867239003841,poor,433502
1624,3,2.140514181137134,10,1,6.225274293420058,excellent,500000
2434,4,2.748237099798298,50,2,5.964990298730193,excellent,500000
1629,2,1.18655724179369,99,3,8.270961368678217,good,422722
1627,3,1.6600930231871995,0,0,5.559029831073046,good,439919
2193,3,2.8668621389820967,28,2,6.567834063499974,good,500000
500,4,2.669037490283495,9,1,6.576796852821628,excellent,371271
620,3,2.1836239129242685,9,1,5.747323710782702,good,450543
1550,4,2.916956010033324,28,3,4.441301678173849,good,500000
1189,5,3.84222200934273,50,2,6.984461755426502,good,500000
2251,4,3.244721163761789,60,2,6.408494042216924,good,500000
1273,3,2.5081420465079236,17,3,7.250360704154855,fair,428616
870,1,1.0,8,1,5.69959954034125,good,375891
3172,5,3.6998634858640767,30,2,8.331231948219571,good,500000
1819,1,1.0,5,2,5.184839328182233,good,344593
2054,5,3.6753926621449358,16,2,9.06806042602684,poor,500000
860,3,2.7322036728059977,8,4,3.8785452352576075,poor,281349
1564,5,3.8972924854914752,21,3,7.152155096835337,fair,500000
2088,4,3.2204633358149453,5,2,7.213146023789935,good,500000
1079,6,4.698864380600224,4,3,5.306664398088676,excellent,500000
2300,3,2.6020421572455974,50,1,7.136590906791519,good,500000
1519,4,3.054306467611112,2,0,8.419278004640239,good,500000
1766,3,1.860950415613246,14,1,3.1747717409689034,good,362783
1518,3,2.3699063855257925,4,2,7.254117211236222,fair,417174
3481,4,2.804592931862451,0,2,2.7600937695048837,fair,500000
1989,5,3.591414995475073,0,2,5.051502794715188,fair,500000
1153,6,4.675909205626528,3,3,8.943749547351418,good,500000
2658,4,3.3714849214300906,40,2,5.627326949911919,good,500000
1023,3,2.2563814730208187,6,2,4.739180053386541,good,459489
2167,3,2.342649903779689,60,1,6.203093406522977,excellent,500000
500,4,3.5106644833905714,17,0,9.601859507245328,fair,337557
937,3,2.3222259538465706,11,2,3.752476629190961,excellent,430658
2157,2,2.2805049342541186,17,2,4.923035132540983,good,500000
2590,3,2.419652893689463,14,3,8.74614752476944,good,500000
2137,3,1.7217711722532547,28,1,9.286553515306599,good,500000
1907,3,2.47600248633136,6,0,6.344853163564574,fair,414092
1759,3,2.3643475154648335,8,2,4.641420946210037,good,432924
817,1,1.1369258262248236,44,1,9.643765252713738,fair,319819
1424,1,1.0,58,0,8.891663587623796,good,424085
1631,6,4.458463204804868,44,2,7.51842048164335,good,500000
2845,3,1.8827105291131903,10,1,5.28139647659387,fair,481879
2274,3,2.1872930228141922,30,2,6.426455988742945,good,500000
589,4,2.74484386373721,12,2,6.259459878432754,poor,361572
2259,3,2.075842965058583,13,1,6.996276956923366,good,500000
1691,5,3.926573521326183,4,2,8.676502157197003,good,500000
1458,4,3.500971351305422,17,3,7.819125561706105,good,500000
2489,2,1.6184014589468942,4,2,4.883935884522863,fair,436372
