cap_factor,demand_scale,emission_cap,shortage_cost,product,period,production,shortage,setup
0.7,0.8,None,500,Alpha,demand_t0,32.0,0.0,1.0
0.7,0.8,None,500,Alpha,demand_t1,48.0,0.0,1.0
0.7,0.8,None,500,Alpha,demand_t2,40.0,0.0,1.0
0.7,0.8,None,500,Beta,demand_t0,21.571429,2.4285714,1.0
0.7,0.8,None,500,Beta,demand_t1,15.857143,16.142857,1.0
0.7,0.8,None,500,Beta,demand_t2,16.0,0.0,1.0
0.7,0.8,None,500,Gamma,demand_t0,17.714286,0.0,1.0
0.7,0.8,None,500,Gamma,demand_t1,8.5714286,0.0,1.0
0.7,0.8,None,500,Gamma,demand_t2,14.5,7.2142857,1.0
0.7,0.8,None,1000,Alpha,demand_t0,32.0,0.0,1.0
0.7,0.8,None,1000,Alpha,demand_t1,48.0,0.0,1.0
0.7,0.8,None,1000,Alpha,demand_t2,40.0,0.0,1.0
0.7,0.8,None,1000,Beta,demand_t0,21.571429,2.4285714,1.0
0.7,0.8,None,1000,Beta,demand_t1,15.857143,16.142857,1.0
0.7,0.8,None,1000,Beta,demand_t2,16.0,0.0,1.0
0.7,0.8,None,1000,Gamma,demand_t0,17.714286,0.0,1.0
0.7,0.8,None,1000,Gamma,demand_t1,8.5714286,0.0,1.0
0.7,0.8,None,1000,Gamma,demand_t2,14.5,7.2142857,1.0
0.7,0.8,None,2000,Alpha,demand_t0,32.0,0.0,1.0
0.7,0.8,None,2000,Alpha,demand_t1,48.0,0.0,1.0
0.7,0.8,None,2000,Alpha,demand_t2,40.0,0.0,1.0
0.7,0.8,None,2000,Beta,demand_t0,21.571429,2.4285714,1.0
0.7,0.8,None,2000,Beta,demand_t1,15.857143,16.142857,1.0
0.7,0.8,None,2000,Beta,demand_t2,16.0,0.0,1.0
0.7,0.8,None,2000,Gamma,demand_t0,17.714286,0.0,1.0
0.7,0.8,None,2000,Gamma,demand_t1,8.5714286,0.0,1.0
0.7,0.8,None,2000,Gamma,demand_t2,14.5,7.2142857,1.0
0.7,0.8,200,500,Alpha,demand_t0,17.6,14.4,1.0
0.7,0.8,200,500,Alpha,demand_t1,29.6,18.4,1.0
0.7,0.8,200,500,Alpha,demand_t2,26.0,14.0,1.0
0.7,0.8,200,500,Beta,demand_t0,27.2,0.0,1.0
0.7,0.8,200,500,Beta,demand_t1,27.2,1.6,1.0
0.7,0.8,200,500,Beta,demand_t2,16.0,0.0,1.0
0.7,0.8,200,500,Gamma,demand_t0,24.0,0.0,1.0
0.7,0.8,200,500,Gamma,demand_t1,0.0,0.0,0.0
0.7,0.8,200,500,Gamma,demand_t2,24.0,0.0,1.0
0.7,0.8,200,1000,Alpha,demand_t0,17.6,14.4,1.0
0.7,0.8,200,1000,Alpha,demand_t1,29.6,18.4,1.0
0.7,0.8,200,1000,Alpha,demand_t2,26.0,14.0,1.0
0.7,0.8,200,1000,Beta,demand_t0,27.2,0.0,1.0
0.7,0.8,200,1000,Beta,demand_t1,27.2,1.6,1.0
0.7,0.8,200,1000,Beta,demand_t2,16.0,0.0,1.0
