cap_factor,demand_scale,emission_cap,shortage_cost,status,profit,total_production,total_shortage,total_setups,A_cap,B_cap
0.7,0.8,None,500,Optimal,-8796.642760499999,214.2142866,25.7857141,9.0,210,168
0.7,0.8,None,1000,Optimal,-21689.499810499998,214.2142866,25.7857141,9.0,210,168
0.7,0.8,None,2000,Optimal,-47475.2139105,214.2142866,25.7857141,9.0,210,168
0.7,0.8,200,500,Optimal,-20812.56,191.6,48.4,8.0,210,168
0.7,0.8,200,1000,Optimal,-45012.56,191.6,48.4,8.0,210,168
0.7,0.8,200,2000,Optimal,-93412.56,191.6,48.4,8.0,210,168
0.7,0.8,300,500,Optimal,-8796.642760499999,214.2142866,25.7857141,9.0,210,168
0.7,0.8,300,1000,Optimal,-21689.499810499998,214.2142866,25.7857141,9.0,210,168
0.7,0.8,300,2000,Optimal,-47475.2139105,214.2142866,25.7857141,9.0,210,168
0.7,1.0,None,500,Optimal,-36590.1428135,217.7142861,82.2857142,8.0,210,168
0.7,1.0,None,1000,Optimal,-77732.99991350001,217.7142861,82.2857142,8.0,210,168
0.7,1.0,None,2000,Optimal,-160018.7141135,217.7142861,82.2857142,8.0,210,168
0.7,1.0,200,500,Optimal,-47378.0,198.6,101.39999999999999,9.0,210,168
0.7,1.0,200,1000,Optimal,-98078.0,198.6,101.39999999999999,9.0,210,168
0.7,1.0,200,2000,Optimal,-199478.0,198.6,101.39999999999999,9.0,210,168
0.7,1.0,300,500,Optimal,-36590.1428135,217.7142861,82.2857142,8.0,210,168
0.7,1.0,300,1000,Optimal,-77732.99991350001,217.7142861,82.2857142,8.0,210,168
0.7,1.0,300,2000,Optimal,-160018.7141135,217.7142861,82.2857142,8.0,210,168
0.7,1.2,None,500,Optimal,-65099.57135500001,219.8571431,140.142857,7.0,210,168
0.7,1.2,None,1000,Optimal,-135170.999855,219.8571431,140.142857,7.0,210,168
0.7,1.2,None,2000,Optimal,-275313.856855,219.8571431,140.142857,7.0,210,168
0.7,1.2,200,500,Optimal,-73770.8,205.6,154.4,9.0,210,168
0.7,1.2,200,1000,Optimal,-150970.8,205.6,154.4,9.0,210,168
0.7,1.2,200,2000,Optimal,-305370.8,205.6,154.4,9.0,210,168
0.7,1.2,300,500,Optimal,-65099.57135500001,219.8571431,140.142857,7.0,210,168
0.7,1.2,300,1000,Optimal,-135170.999855,219.8571431,140.142857,7.0,210,168
0.7,1.2,300,2000,Optimal,-275313.856855,219.8571431,140.142857,7.0,210,168
1.0,0.8,None,500,Optimal,4953.599999999999,240.0,0.0,7.0,300,240
1.0,0.8,None,1000,Optimal,4953.599999999999,240.0,0.0,7.0,300,240
1.0,0.8,None,2000,Optimal,4953.599999999999,240.0,0.0,7.0,300,240
1.0,0.8,200,500,Optimal,-20266.5333336,192.0,48.0,6.0,300,240
1.0,0.8,200,1000,Optimal,-44266.5333336,192.0,48.0,6.0,300,240
1.0,0.8,200,2000,Optimal,-92266.5333336,192.0,48.0,6.0,300,240
1.0,0.8,300,500,Optimal,4953.599999999999,240.0,0.0,7.0,300,240
1.0,0.8,300,1000,Optimal,4953.599999999999,240.0,0.0,7.0,300,240
1.0,0.8,300,2000,Optimal,4953.599999999999,240.0,0.0,7.0,300,240
1.0,1.0,None,500,Optimal,1979.75,291.875,8.125,9.0,300,240
1.0,1.0,None,1000,Optimal,-2082.75,291.875,8.125,9.0,300,240
1.0,1.0,None,2000,Optimal,-10207.75,291.875,8.125,9.0,300,240
1.0,1.0,200,500,Optimal,-44969.3333336,202.5,97.5,6.0,300,240
1.0,1.0,200,1000,Optimal,-93719.3333336,202.5,97.5,6.0,300,240
1.0,1.0,200,2000,Optimal,-191219.3333336,202.5,97.5,6.0,300,240
1.0,1.0,300,500,Optimal,-5543.2,277.5,22.5,8.0,300,240
1.0,1.0,300,1000,Optimal,-16793.2,277.5,22.5,8.0,300,240
1.0,1.0,300,2000,Optimal,-39293.2,277.5,22.5,8.0,300,240
1.0,1.2,None,500,Optimal,-19517.1430725,307.714285,52.2857147,9.0,300,240
1.0,1.2,None,1000,Optimal,-45660.0004225,307.714285,52.2857147,9.0,300,240
1.0,1.2,None,2000,Optimal,-97945.7151225,307.714285,52.2857147,9.0,300,240
1.0,1.2,200,500,Optimal,-69590.06666664,213.0,147.0,6.0,300,240
1.0,1.2,200,1000,Optimal,-143090.06666664,213.0,147.0,6.0,300,240
1.0,1.2,200,2000,Optimal,-290090.06666664,213.0,147.0,6.0,300,240
